paper_id,pmid,pmcid,doi,title,pmc_access_status,pmc_parse_status,pdf_needed,pdf_import_status,normalized_path,notes
pmid-42619998,42619998,PMC13484650,10.64898/2026.08.03.742570,SAMHD1 enhances HIV-1-induced glycolysis in monocytic cells through hexokinase 2 upregulation.,available,unusable,yes,missing,,PMC XML body text is too short for normalization. Unusable PMC XML deleted from run artifacts.
pmid-42580411,42580411,,10.1016/j.virs.2026.08.003,Enteroviruses antagonize the host restriction factor ABL2 via proteasomal degradation to facilitate viral replication.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42562331,42562331,,10.1016/j.bcp.2026.118321,The L-type calcium channel Ca(v)1.2 mediates influenza A virus infection by regulating viral internalization and endoplasmic reticulum homeostasis.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42539190,42539190,PMC13419777,10.64898/2026.07.21.739879,The HIV-1 restriction factor RPRD2 does not inhibit transcription of HIV-1 or endogenous retroelements.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13419777.json,PMC XML downloaded and normalized.
pmid-42525534,42525534,,10.1016/j.celrep.2026.117773,MITD1 restricts HIV-1 release by targeting ESCRT-III proteins.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42520937,42520937,,10.1016/j.jbc.2026.113369,FOXA2 potently represses NF-κB-dependent transcription from viral promoters in liver cells.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42515605,42515605,PMC13431474,10.3390/v18070753,MicroRNAs Regulated by Pregnancy Target Antiviral and Cancer Immunity Overlapping with the HIV Interactome.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13431474.json,PMC XML downloaded and normalized.
pmid-42507754,42507754,PMC13405069,10.1371/journal.ppat.1014400,VRK3 promotes KSHV infection by suppressing the antiviral type I interferon response.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13405069.json,PMC XML downloaded and normalized.
pmid-42418426,42418426,PMC13345423,10.1371/journal.ppat.1014376,Independent proviral and antiviral host factors recognize the same capsid protein in divergent human herpesviruses.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13345423.json,PMC XML downloaded and normalized.
pmid-42403244,42403244,PMC13349425,10.1002/jmv.71043,JQKD82 Inhibits HIV Infection of Macrophages Through Blocking Viral Entry and Enhancing Antiviral ISG Responses.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
