paper_id,pmid,doi,title,import_status,match_method,match_score,source_filename,staged_pdf_path,notes
pmid-31441945,31441945,10.1111/cup.13571,Concurrent cutaneous localization of Langerhans cell sarcoma and chronic lymphocytic leukemia/small lymphocytic lymphoma in a patient with a history of chronic lymphocytic leukemia/small lymphocytic lymphoma.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-31494105,31494105,10.1016/j.cbi.2019.108813,"""Verteporfin exhibits anti-proliferative activity in embryonal and alveolar rhabdomyosarcoma cell lines"".",missing,,,,,No matching PDF found in the provided downloads directory.
pmid-30676333,30676333,10.1097/PAS.0000000000001219,Adenocarcinoma of the Rete Testis: Clinicopathologic and Immunohistochemical Characterization of 6 Cases and Review of the Literature.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-30352879,30352879,10.2337/db18-0285,"Transient PAX8 Expression in Islets During Pregnancy Correlates With β-Cell Survival, Revealing a Novel Candidate Gene in Gestational Diabetes Mellitus.",missing,,,,,No matching PDF found in the provided downloads directory.
pmid-29561272,29561272,10.1097/PAI.0000000000000635,Novel Finding of Paired Box 5 (PAX5) Cytoplasmic Staining in Well-differentiated Rectal Neuroendocrine Tumors (Carcinoids) and Its Diagnostic and Potentially Prognostic Utility.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-29996314,29996314,10.3760/cma.j.issn.0529-5807.2018.07.005,"[Clinicopathologic and molecular characterizations of Sertoli cell tumor, not otherwise specified of the testis].",missing,,,,,No matching PDF found in the provided downloads directory.
pmid-29442331,29442331,10.1007/978-981-10-7311-3_18,Role of Zic Family Proteins in Transcriptional Regulation and Chromatin Remodeling.,staged,title_overlap,1.000,Role of Zic Family Proteins in Transcriptional Regulation and Chromatin Remodeling.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 29442331.pdf,PDF moved into workflow store as PMID 29442331.pdf for downstream parsing and normalization.
pmid-24645679,24645679,10.1210/me.2013-1377,Wnt-independent role of β-catenin in thyroid cell proliferation and differentiation.,staged,title_overlap,1.000,Wnt-independent role of beta-catenin in thyroid cell proliferation and differentiation.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 24645679.pdf,PDF moved into workflow store as PMID 24645679.pdf for downstream parsing and normalization.
pmid-23055533,23055533,10.2967/jnumed.111.101295,Antitumor effects of proteasome inhibition in anaplastic thyroid carcinoma.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-21450989,21450989,10.1210/jc.2010-2341,Mutations in the NKX2.5 gene and the PAX8 promoter in a girl with thyroid dysgenesis.,staged,title_overlap,1.000,Mutations in the NKX2.5 gene and the PAX8 promoter in a girl with thyroid dysgenesis.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 21450989.pdf,PDF moved into workflow store as PMID 21450989.pdf for downstream parsing and normalization.
pmid-17056545,17056545,10.4049/jimmunol.177.9.6165,Epigenetic histone modifications do not control Igkappa locus contraction and intranuclear localization in cells with dual B cell-macrophage potential.,staged,title_overlap,1.000,Epigenetic histone modifications do not control Igkappa locus contraction and intranuclear localization in cells with dual B cell-macrophage potential.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 17056545.pdf,PDF moved into workflow store as PMID 17056545.pdf for downstream parsing and normalization.
pmid-16669872,16669872,10.1111/j.1440-1827.2006.01959.x,Immunohistochemical analysis of thyroid-specific transcription factors in thyroid tumors.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-15148315,15148315,10.1074/jbc.M402949200,"Cross-talk between the paired domain and the homeodomain of Pax3: DNA binding by each domain causes a structural change in the other domain, supporting interdependence for DNA Binding.",missing,,,,,No matching PDF found in the provided downloads directory.
pmid-11601392,11601392,,[In vitro modelling of the interactions between the promoter and enhancer complexes].,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-11059777,11059777,,Hormone-dependent tumor regression in vivo by an inducible transcriptional repressor directed at the PAX3-FKHR oncogene.,staged,title_overlap,1.000,Hormone-dependent tumor regression in vivo by an inducible transcriptional repressor directed at the PAX3-FKHR oncogene.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 11059777.pdf,PDF moved into workflow store as PMID 11059777.pdf for downstream parsing and normalization.
